Title,Company,Location,Category,Contract Type,Contract Time,Salary Min,Salary Max,Created,Description,Redirect URL,timestamp
Data Analyst,Talent International,"Geelong West, Geelong",IT Jobs,,full_time,,,2025-01-17T11:02:13Z,"Working for this large government department as a Data Analyst you will be part of the People & Culture team. Your role will be to develop reporting and analytical capability to enable decision making and insight to the business by connecting P&C metrics to business unit and corporate strategy delivery and self-service access to information where possible. Key activities Collaborate with the P&C division to provide the data, analysis and insights required to deliver the organisation’s corporate…",https://www.adzuna.com.au/land/ad/5013639148?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=69D1C0D5A21253DB1EC71A5E429019D78B2B9E27,2025-01-24 21:31:41
Data Analyst,Luxury Escapes,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-01-17T11:02:26Z,"Luxury Escapes is one of the world's fastest growing travel businesses, reaching up to 7 million subscribers each month with exclusive limited time offers at 'insider' prices. Here at Luxury Escapes, our mission is to delight our customers with incredible deals for the world's best holidays. We are a collective of forward-thinking people, driven to challenge the travel industry and ourselves to bring ever better travel experiences to our customer community. Our award winning employee experience…",https://www.adzuna.com.au/land/ad/5013640202?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=89C32590C40E5509C6287C3401EAFA802FA3FF5E,2025-01-24 21:31:41
Data Analyst,WorkSafe Victoria,"Geelong West, Geelong",IT Jobs,contract,full_time,,,2025-01-17T11:10:38Z,"Data Analyst $96,849 per annum  superannuation Full time, Fixed term opportunity until 30 June 2025 Geelong location (hybrid working model – minimum 3 days in office attendance) At WorkSafe we’re dedicated to supporting all Victorians to be healthy and safe at work and to recover from any workplace injury or illness as quickly as possible. Our passion for safety and wellbeing is what unites us. About the role WorkSafe Victoria (WSV) is committed to supporting prevention-led and client-centric d…",https://www.adzuna.com.au/land/ad/5013676392?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=2E8B0259325FC087E7512270C9246429C7405F6B,2025-01-24 21:31:41
Data Analyst,HorizonOne Recruitment,"Braddon, North Canberra",IT Jobs,contract,full_time,,,2025-01-23T09:25:46Z,"Exclusive role | Managing & executing SAS data flows | Long term contract ASAP - 14/11/25 | Work culture where people enjoy coming to work This opportunity is in a large APS agency, joining a team focused on using data to drive evidence-based reforms in Australia. This group specialises in gathering and analysing information to support informed decision-making. The team’s goal is to foster a data-centric environment, ensuring that insights are leveraged to their fullest potential. The Opportuni…",https://www.adzuna.com.au/land/ad/5020245404?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=6ADC3834726A1E518E858A6954E4C478D7F196B6,2025-01-24 21:31:41
Data Analyst,Easy Authoring,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-01-17T11:02:58Z,"Contract until 20th April 2025, with possible extension. Competitive pay: $890 / day  super Full-time role: 40 hours per week, with flexible working options (3 days onsite, 2 days WFH) Office location: Parramatta Purpose of the Role: We’re seeking a Data Analyst with Fleet Management or Asset Management experience to design, develop, implement and support Business Intelligence solutions for a key team within a large state government department. This role will focus on leveraging tools like Powe…",https://www.adzuna.com.au/land/ad/5013643327?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=492C1CC1D96FED143B6153CFF6E316D1D0B15A2B,2025-01-24 21:31:41
Data Analyst,HorizonOne Recruitment,"Braddon, North Canberra",IT Jobs,permanent,full_time,,,2025-01-17T11:00:20Z,"Is 2025 the year you find your dream data analyst role. Get access to a wide variety (including exclusive) contract & s26 data & analytical roles HorizonOne Recruitment is a specialist recruitment firm redefining traditional approaches. With a focus on quality, service, and deep subject-matter expertise, we prioritize candidates, tailoring our efforts to find the best possible fit. Our reverse-recruiting model puts you at the centre, coaching you through career planning and helping you navigate…",https://www.adzuna.com.au/land/ad/5013628602?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=9523ACDC50AD4E8A9F0BFA1A918266A23EB6F568,2025-01-24 21:31:41
Data Analyst,at Sonder.io,"Waterloo, Sydney",Consultancy Jobs,,full_time,,,2025-01-22T13:10:24Z,"At Sonder, we help organisations improve the health, safety and wellbeing of their people, empowering them to be at their best. Our mobile app provides immediate, 24/7 support to our members from a team of safety, medical, and mental health professionals - plus onsite help for time-sensitive scenarios. Accredited by the Australian Council on Healthcare Standards (ACHS), our platform gives our customers the insights they need to act on tomorrow’s wellbeing challenges today. Founded in 2017, Sond…",https://www.adzuna.com.au/land/ad/5018999081?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=61F4E866CA69CEC49CE79C93550951D3BB75F453,2025-01-24 21:31:41
Data Analyst,Brunel,"Bayswater, Bayswater Area",IT Jobs,contract,part_time,,,2025-01-17T11:09:12Z,"What are you going to do li]:text-brunel-dark-grey [&_ul>li]:py-2 [&_p]:text-brunel-dark-grey [&_ul>li>ul>li]:pl-0 pl-4 text-brunel-dark-grey description""> We have a current opportunity for a Analyst on a temporary basis. The position will be based in Perth. For further information about this position please apply. Responsibilities: Prepare financial analysis reports to assess operational performance for regular reporting and specific business needs. Deliver high-quality analysis and insights t…",https://www.adzuna.com.au/land/ad/5013669202?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=F54E7F9B7917EA85BC0022BFAE7C185C1A99509B,2025-01-24 21:31:41
Data Analyst,CHEP Network,"The Rocks, Sydney","PR, Advertising & Marketing Jobs",,full_time,,,2025-01-18T11:04:48Z,"Job Description WE ARE LOOKING FOR THE NEW BREED OF ANALYST We're looking for someone with a baseline knowledge of analytics, marketing science or data science, but more importantly, we want someone who brings a passion for uncovering insights, a proactive attitude, and an eagerness to learn and grow. You're someone who's fascinated by human behavior and the why behind how marketing works. Data is the foundation of every business strategy, and we need someone who not only understands the number…",https://www.adzuna.com.au/land/ad/5015083563?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=07DF986ECBA4E7C6703C03E399B33E6F23F5BAEB,2025-01-24 21:31:41
Data Analyst,Queensland Government,"Brisbane CBD, Brisbane",IT Jobs,permanent,full_time,101174,109783,2025-01-17T11:07:49Z,"Department of Queensland Treasury Permanent Flexible full-time $101,174 - $109,783 per annum Generous Superannuation Undertake person based probabilistic data linkage in a collaborative environment committed to continuous improvement and innovation. The key responsibilities Access, process, link, analyse and manage data using tools such as R, GitLab and customised data linkage software. Ensure outputs satisfy QGSO standards for integrity, governance, accuracy and timeliness. Contribute to the d…",https://www.adzuna.com.au/land/ad/5013663315?se=tt9VNDza7xGongxyKn7jYQ&utm_medium=api&utm_source=4a3e4881&v=32AAE99F1A52CE433086B7C62075FBC7CBED8C29,2025-01-24 21:31:41
