Title,Company,Location,Category,Contract Type,Contract Time,Salary Min,Salary Max,Created,Description,Redirect URL,timestamp
Data Scientist,private,"Shearwater, Latrobe Area",Scientific & QA Jobs,permanent,full_time,110000,120000,2025-01-24T12:27:42Z,"About Us: Welcome to the company, a leading provider of reliable, efficient, and quality transportation services across Tasmania and mainland Australia. Our commitment to excellence has positioned us as a top choice for door-to-door deliveries, warehousing, and storage solutions. As we continue to grow and innovate, we are seeking a talented Data Scientist to join our dynamic team and help us harness the power of data to drive our business forward. Job Description: We are looking for a Data Sci…",https://www.adzuna.com.au/details/5021696931?utm_medium=api&utm_source=4a3e4881,2025-01-29 21:02:54.248246
Data Scientist,Commonwealth Bank of Australia,"Sydney CBD, Sydney",IT Jobs,permanent,full_time,,,2025-01-26T08:28:19Z,"Permanent Full Time Opportunity You are determined to stay ahead of the latest technologies in Data Science We're one of the largest and most advanced Data Science practices in the country Together we can build state-of-the-art Data Science models that power seamless experiences for millions of customers. See yourself in the team: Group Audit & Assurance (GA&A) provides independent, objective, and commercial risk focused assurance to the Board Audit Committee (BAC) to assist the Group in securi…",https://www.adzuna.com.au/land/ad/5024251710?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=74B13CCE5EA9344A5FC3F093A3C4BA63EB6B3347,2025-01-29 21:02:54.248246
Data Scientist,Pyramid Global Technologies,"Bayswater, Bayswater Area",IT Jobs,,full_time,,,2025-01-22T09:14:07Z,"About the job Data Scientist Job Description ﻿Data Scientist in Perth: ﻿Required Technical Skill Set - Python, R, SQL, shell scripting,, GitHub/SVN, Teamcity or continuous integration tools, Exposure to AWS. Ability to work as part of a multidisciplinary team and develop and maintain relationships with internal and external stakeholders. Assist in the management of sprints and product backlog in an Agile environment. Understanding in applying machine learning, deep learning, artificial intellig…",https://www.adzuna.com.au/land/ad/5018860288?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=C99304E7E21551AF666E3FCE2C57A3BFFD714950,2025-01-29 21:02:54.248246
Data Scientist,Ignite Recruitment,"City, North Canberra",IT Jobs,contract,full_time,,,2025-01-24T21:19:45Z,"I'm working with a Federal Government organisation to find a Data Scientist. Duration: 6 month initial contract Location: Canberra Citizenship/Security Clearance requirements: Australian citizens with the ability to obtain a minimum baseline clearance. The Data Scientist will develop, implement and optimise analytical and predictive models and assist with the statistical management and analysis of department databases and data. This will include using a variety of statistical, predictive modell…",https://www.adzuna.com.au/land/ad/5022431603?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=5F19EADE13187FFEDA093F65ED0CC235AF923AB7,2025-01-29 21:02:54.248246
Data Scientist,Careerone Partner Network,"Latrobe, Latrobe Area",IT Jobs,,full_time,110000,120000,2025-01-23T21:15:26Z,"About Us: Welcome to the company, a leading provider of reliable, efficient, and quality transportation services across Tasmania and mainland Australia. Our commitment to excellence has positioned us as a top choice for door-to-door deliveries, warehousing, and storage solutions. As we continue to grow and innovate, we are seeking a talented Data Scientist to join our dynamic team and help us harness the power of data to drive our business forward. Job Description: We are looking for a Data Sci…",https://www.adzuna.com.au/land/ad/5020851650?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=F97527CEA85ABC3A6FF62C3B8BC99058921DEE1D,2025-01-29 21:02:54.248246
Data Scientist,Commonwealth Bank of Australia,"Sydney CBD, Sydney",Scientific & QA Jobs,,full_time,,,2025-01-24T21:19:36Z,You are passionate about leveraging cutting-edge Data Science to drive growth and innovation Join a dynamic team that's continuously pushing the boundaries of growth marketing Your work will directly impact our largest retail portfolio and millions of customers Do work that matters Working within Home Buying growth and acquisition modelling supporting the Search & Find squad you will use your technical knowledge and understanding of business domain to deliver complex modelling projects. As a co…,https://www.adzuna.com.au/land/ad/5022430678?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=A0CC7F6604FF8DA356817B520D5AFEC4663EE485,2025-01-29 21:02:54.248246
Data Scientist/Data Analyst,Blunomy,"South Yarra, Stonnington Area",IT Jobs,,full_time,70000,105000,2025-01-28T21:48:05Z,"Job description Data analytics in the energy and climate space is growing at an incredible rate. Blunomy is growing the team to support the energy industry through its digitisation, decentralisation and decarbonisation transition and to support operability and planning in Australia and around the world. We are looking for someone passionate about energy and data analytics to do-well-and-do-good by delivering data science products to better the energy market. As an analyst, you will work on proj…",https://www.adzuna.com.au/land/ad/5026832633?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=D7A01127DE2BA2BAADE329632288BC7EE1E59861,2025-01-29 21:02:54.248246
Principal Data Scientist,Commonwealth Bank of Australia,"Sydney CBD, Sydney",IT Jobs,,full_time,,,2025-01-22T09:14:03Z,"Join Our Team About Us: Our Retail Banking Services (RBS) AI and Data Science team is central to realizing the Group’s vision of a future enriched by advanced AI technologies. We integrate cutting-edge Generative AI, Agentic AI, and Deep Learning methodologies to provide a seamless, customer-centric banking experience. Our team delivers market-leading products and services supported by some of the world’s most sophisticated systems and processes. The Opportunity: We are looking for a Principal …",https://www.adzuna.com.au/land/ad/5018859779?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=5C6341CAC1AFD6B5DFA87DE06C225129CB80BA42,2025-01-29 21:02:54.248246
Senior Data Scientist,Mane Consulting,"Haberfield, Ashfield Area",IT Jobs,,full_time,,,2025-01-22T13:10:22Z,"Get recognition and reward working with this a pioneering industry leader, as they embark on a transformative journey The Data Scientist will drive internal data analytics projects serving all areas of the company. You will have the opportunity to work side by side with talented, motivated, and intellectually stimulating colleagues who thrive on helping the business solve the most pressing business opportunities. Key Responsibilities: You will lead the development of high-quality briefings, rep…",https://www.adzuna.com.au/land/ad/5018998942?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=8E6539639DFE1E91DCF2FBC5F1D02A3E3CDFF521,2025-01-29 21:02:54.248246
Research Data Scientist,Central Adelaide Local Health Network,"Adelaide CBD, Adelaide",Scientific & QA Jobs,,full_time,,,2025-01-25T13:22:04Z,"Research Data Scientist Job no: 882213 Work type: Full time Location: Adelaide CBD Categories: Pathology Central Adelaide Local Health Network Statewide – SA Pathology Salary: MeS3 - $104,180.00 - $116,693.00 p.a.  Superannuation & Salary Sacrifice Benefits Adelaide SA, 5000 Full Time, Contracted Role up to 30 Jun 2025 About the role Are you passionate about leveraging data to drive impactful research outcomes? As the Research Data Scientist at SA Pathology, you will play a key role in facilita…",https://www.adzuna.com.au/land/ad/5023434423?se=dloRISje7xGRdeR096mL_Q&utm_medium=api&utm_source=4a3e4881&v=F6EFD7DE10DB1FFD09A32522B848FF660D795C52,2025-01-29 21:02:54.248246
