Title,Company,Location,Category,Contract Type,Contract Time,Salary Min,Salary Max,Created,Description,Redirect URL,timestamp
Data Analyst,Pyramid Global Technologies,"South Yarra, Stonnington Area",IT Jobs,,full_time,,,2025-01-22T09:14:11Z,"About the job Data Analyst JD for Data Insights & Analytics Analyst role: As a Data Insights & Analytics Analyst, you are an important contributor to analysing business problems and recommending solutions which drive data decision making within our organisation. You will also be working closely with Data Engineering & Data Science teammates and the Product Owner on identifying and documenting technical and business requirements to facilitate the development of new data solutions. To be successf…",https://www.adzuna.com.au/land/ad/5018860760?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=E535E12E6BB9AA3A92E435CF61473DADB9339D7A,2025-01-29 21:01:31.350561
Data Analyst,Talentpath,"South Brisbane, Brisbane",IT Jobs,contract,full_time,,,2025-01-23T14:14:23Z,"Data Analyst Salary : $115k-$120k  11.5% superannuation. Childcare Discounts : Enjoy reduced rates for childcare services. Location : South Bank, Brisbane Supportive Team Culture : Casual catch-ups and one-on-ones ensure alignment and a sense of belonging. Join a dynamic early learning company in growth phase. This organization is committed to making a difference in children’s lives while fostering a supportive and collaborative workplace culture. As a Data Analyst , you’ll spearhead a greenfie…",https://www.adzuna.com.au/land/ad/5020457263?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=130ABB63948EE95F8367DE38E7B5B642CE4BF4AF,2025-01-29 21:01:31.350561
Data Analyst,Westpac Group,"Surfers Paradise, Gold Coast",IT Jobs,permanent,full_time,,,2025-01-29T09:50:52Z,"Data Analyst | 55403 Permanent Gold Coast Location Part of multi-billion-dollar UNITE program How will I help? As a Data Analyst, you will be responsible for producing data analytics and insights. You will also support the performance of key controls to meet regulatory requirements and/ or mitigate risks. Key responsibilities include: Extract, manipulate and analyse data using SAS and SQL Internal and external stakeholder management Attend to individual requests for information and/or assistanc…",https://www.adzuna.com.au/land/ad/5027462335?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=269A8C087A6913DC9F78F596D88693A0580EB460,2025-01-29 21:01:31.350561
Data Analyst,Westpac Group,"The Rocks, Sydney",IT Jobs,permanent,full_time,,,2025-01-29T09:50:52Z,"Data Analyst | 55403 Permanent Gold Coast Location Part of multi-billion-dollar UNITE program How will I help? As a Data Analyst, you will be responsible for producing data analytics and insights. You will also support the performance of key controls to meet regulatory requirements and/ or mitigate risks. Key responsibilities include: Extract, manipulate and analyse data using SAS and SQL Internal and external stakeholder management Attend to individual requests for information and/or assistanc…",https://www.adzuna.com.au/land/ad/5027462397?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=9A448F058CA6D256E74FC03481F7B9E82F81B2D8,2025-01-29 21:01:31.350561
Data Analyst,HorizonOne Recruitment,"Braddon, North Canberra",IT Jobs,contract,full_time,,,2025-01-23T09:25:46Z,"Exclusive role | Managing & executing SAS data flows | Long term contract ASAP - 14/11/25 | Work culture where people enjoy coming to work This opportunity is in a large APS agency, joining a team focused on using data to drive evidence-based reforms in Australia. This group specialises in gathering and analysing information to support informed decision-making. The team’s goal is to foster a data-centric environment, ensuring that insights are leveraged to their fullest potential. The Opportuni…",https://www.adzuna.com.au/land/ad/5020245404?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=6ADC3834726A1E518E858A6954E4C478D7F196B6,2025-01-29 21:01:31.350561
Data Analyst,COGNIZANT,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-01-29T09:50:53Z,"What makes Cognizant a unique place to work? The combination of rapid growth and an international and innovative environment This is creating many opportunities for people like YOU — people with an entrepreneurial spirit who want to make a difference in this world. At Cognizant, together with your colleagues from all around the world, you will collaborate on creating solutions for the world's leading companies and help them become more flexible, more innovative, and successful. Moreover, this i…",https://www.adzuna.com.au/land/ad/5027462432?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=430E0D7F1851EE3C119A6597CB5EFB77D23065AA,2025-01-29 21:01:31.350561
Data Analyst,at Sonder.io,"Waterloo, Sydney",Consultancy Jobs,,full_time,,,2025-01-22T13:10:24Z,"At Sonder, we help organisations improve the health, safety and wellbeing of their people, empowering them to be at their best. Our mobile app provides immediate, 24/7 support to our members from a team of safety, medical, and mental health professionals - plus onsite help for time-sensitive scenarios. Accredited by the Australian Council on Healthcare Standards (ACHS), our platform gives our customers the insights they need to act on tomorrow’s wellbeing challenges today. Founded in 2017, Sond…",https://www.adzuna.com.au/land/ad/5018999081?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=61F4E866CA69CEC49CE79C93550951D3BB75F453,2025-01-29 21:01:31.350561
Data Analyst,Ubank,"The Rocks, Sydney",IT Jobs,,full_time,,,2025-01-24T21:19:32Z,"About Us At ubank, we want to empower the digital generation to be more successful with money. Think of us more as a daily money companion. One that brings together the ability for customers to see their money in one place, with smart features and real-time insights designed to help them get ahead. With ubank, our customers can discover what it feels like to save more, see exactly where they’re spending and own their own home faster. In short, we want to help them achieve real momentum with mon…",https://www.adzuna.com.au/land/ad/5022430377?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=AD515747CCB7087B9EB2CF5994248A347ED10A45,2025-01-29 21:01:31.350561
Senior Data Analyst,Great Southern Bank,"Brisbane CBD, Brisbane",IT Jobs,,full_time,,,2025-01-25T09:32:48Z,"Senior Data Analyst As our Senior Data Analyst located in Brisbane, you will be working to transition and rationalise legacy data products from our SAS, SQL, and PowerBI environments to a new AWS/Databricks environment. You will be able to make a big difference with us and be exposed to a broad range of complex data challenges, as we are smaller than the majors and your circle of influence is greater. This position will have no direct reports, but as a Senior Data Analyst you will be expected t…",https://www.adzuna.com.au/land/ad/5023258813?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=6E1F6D2CA9833293E8AC302FC70212F5CC4117C6,2025-01-29 21:01:31.350561
Tech Data Analyst,HAYS,"Sydney CBD, Sydney",IT Jobs,,part_time,,,2025-01-26T20:30:05Z,"Tech Data Analyst Your new company Join a team of innovators shaping the future of banking. They're committed to using cutting-edge technology and innovation to build tomorrow's bank today. Your new role As a Technical Data Analyst, you will collaborate with our key internal stakeholders gathering requirements to design, build, deploy, and test data pipelines across a variety of use cases. What you'll need to succeed Show confidence in navigating group data products and data assets, by integrat…",https://www.adzuna.com.au/land/ad/5024721647?se=hmZz7ife7xG5IchmzXA-oA&utm_medium=api&utm_source=4a3e4881&v=B6E9080D52B6991C0F2D26A8247D5A4BF69B6F3D,2025-01-29 21:01:31.350561
